lat_deg,lon_deg,alt_km,x_ecef_m,y_ecef_m,z_ecef_m,ax_m_s2,ay_m_s2,az_m_s2,g_total_m_s2,g_point_mass_m_s2,delta_g_m_s2,delta_g_mGal
45.000000,0,400,4792866.141537,0.000000,4792866.141537,-6.136798,-0.000011,-6.129009,8.673237,8.675953,-0.002716,-271.601755
50.000000,0,400,4356902.030407,0.000000,5192353.647318,-5.578268,-0.000014,-6.639485,8.671784,8.675953,-0.004169,-416.920614
55.000000,0,400,3887779.264056,0.000000,5552324.206614,-4.977358,-0.000017,-7.099393,8.670379,8.675953,-0.005574,-557.419322
60.000000,0,400,3389068.150000,0.000000,5870038.226113,-4.338651,-0.000016,-7.505250,8.669064,8.675953,-0.006889,-688.885007
65.000000,0,400,2864564.180948,0.000000,6143077.710286,-3.667014,-0.000015,-7.853986,8.667877,8.675953,-0.008076,-807.620291
70.000000,0,400,2318259.148807,0.000000,6369364.663791,-2.967553,-0.000011,-8.142969,8.666851,8.675953,-0.009102,-910.169053
75.000000,0,400,1754310.764741,0.000000,6547176.906277,-2.245585,-0.000007,-8.370012,8.666011,8.675953,-0.009941,-994.142693
80.000000,0,400,1177011.016473,0.000000,6675161.179213,-1.506585,-0.000003,-8.533408,8.665382,8.675953,-0.010570,-1057.041775
85.000000,0,400,590753.503671,0.000000,6752343.445003,-0.756162,-0.000001,-8.631934,8.664991,8.675953,-0.010962,-1096.193637
90.000000,0,400,0.000000,0.000000,6778136.300000,-0.000000,0.000000,-8.664848,8.664848,8.675953,-0.011105,-1110.472052
-90.000000,-180.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-170.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-160.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-150.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-140.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-130.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-120.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-110.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-100.000000,400,-0.000000,-0.000000,-6778136.300000,0.000000,-0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-90.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-80.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-70.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-60.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-50.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-40.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-30.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-20.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,-10.000000,400,0.000000,-0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,0.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,10.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,20.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,30.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,40.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,50.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,60.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,70.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,80.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,90.000000,400,0.000000,0.000000,-6778136.300000,0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,100.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,110.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,120.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,130.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,140.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,150.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,160.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-90.000000,170.000000,400,-0.000000,0.000000,-6778136.300000,-0.000000,0.000000,8.664776,8.664776,8.675953,-0.011177,-1117.698386
-80.000000,-180.000000,400,-1177011.016473,-0.000000,-6675161.179213,1.506580,0.000002,8.533255,8.665231,8.675953,-0.010722,-1072.154444
-80.000000,-170.000000,400,-1159129.574403,-204385.818104,-6675161.179213,1.483695,0.261615,8.533254,8.665231,8.675953,-0.010722,-1072.226077
-80.000000,-160.000000,400,-1106028.566763,-402561.476550,-6675161.179213,1.415729,0.515281,8.533255,8.665232,8.675953,-0.010721,-1072.093359
