time_h,altitude_km,sma_km,ecc,period_min
295,334.136,6712.27,0.000775201,91.2146
296,324.285,6702.42,0.000719001,91.0138
297,330.765,6708.9,0.000464193,91.1458
298,335.11,6713.25,0.000886028,91.2344
299,324.885,6703.02,0.000654463,91.0261
300,328.849,6706.99,0.000412891,91.1068
301,335.644,6713.78,0.000946099,91.2453
302,325.904,6704.04,0.000546294,91.0468
303,327.021,6705.16,0.000423742,91.0696
304,335.686,6713.82,0.000948685,91.2461
305,327.24,6705.38,0.00041635,91.074
306,325.42,6703.56,0.000474965,91.037
307,335.221,6713.36,0.000892591,91.2367
308,328.766,6706.9,0.000310566,91.1051
309,324.164,6702.3,0.000528327,91.0114
310,334.28,6712.42,0.000782003,91.2175
311,330.341,6708.48,0.000307754,91.1372
312,323.34,6701.48,0.000556862,90.9946
313,332.933,6711.07,0.000626417,91.19
314,331.822,6709.96,0.000413183,91.1674
315,322.998,6701.13,0.000547176,90.9876
316,331.279,6709.42,0.000441587,91.1563
317,333.075,6711.21,0.000550244,91.1929
318,323.148,6701.29,0.000496424,90.9907
319,329.444,6707.58,0.000258293,91.1189
320,333.988,6712.13,0.000672687,91.2115
321,323.761,6701.9,0.000412184,91.0031
322,327.565,6705.7,0.00018306,91.0806
323,334.478,6712.61,0.000759845,91.2215
324,324.77,6702.91,0.000318975,91.0237
325,325.779,6703.92,0.000305737,91.0443
326,334.494,6712.63,0.000802247,91.2219
327,326.077,6704.21,0.000276332,91.0503
328,324.215,6702.35,0.000467684,91.0124
329,334.028,6712.17,0.000797462,91.2124
330,327.564,6705.7,0.000344198,91.0806
331,322.981,6701.12,0.000603985,90.9873
332,333.108,6711.25,0.000749024,91.1936
333,329.098,6707.24,0.000483624,91.1119
334,322.159,6700.3,0.000695981,90.9705
335,331.798,6709.93,0.000666293,91.1669
336,330.546,6708.68,0.000637192,91.1414
337,321.796,6699.93,0.000735743,90.9631
338,330.19,6708.33,0.000565088,91.1341
339,331.781,6709.92,0.000774146,91.1666
340,321.902,6700.04,0.000721471,90.9653
341,328.4,6706.54,0.000469242,91.0977
342,332.699,6710.84,0.000876766,91.1853
343,322.452,6700.59,0.000656827,90.9765
344,326.555,6704.69,0.000409848,91.0601
345,333.217,6711.35,0.000933952,91.1958
346,323.387,6701.52,0.00055137,90.9955
347,324.784,6702.92,0.000408521,91.024
348,333.288,6711.42,0.000939634,91.1973
349,324.619,6702.76,0.000423232,91.0206
350,323.208,6701.35,0.000451702,90.9919
351,332.898,6711.03,0.000892397,91.1893
352,326.04,6704.18,0.000309976,91.0496
353,321.932,6700.07,0.00050499,90.9659
354,332.068,6710.2,0.000795331,91.1724
355,327.528,6705.66,0.000285146,91.0799
356,321.035,6699.17,0.000541259,90.9476
357,330.852,6708.99,0.000655965,91.1476
358,328.959,6707.1,0.000375734,91.109
359,320.568,6698.7,0.000545891,90.9381
360,329.333,6707.47,0.000486808,91.1167
361,330.215,6708.35,0.0005108,91.1346
362,320.548,6698.69,0.000513963,90.9377
363,327.614,6705.75,0.000309971,91.0816
364,331.193,6709.33,0.000639923,91.1546
365,320.961,6699.1,0.000449043,90.9461
366,325.81,6703.95,0.00018964,91.0449
367,331.811,6709.95,0.00074085,91.1672
368,321.759,6699.9,0.000365754,90.9624
369,324.041,6702.18,0.00025127,91.0089
370,332.015,6710.15,0.000802837,91.1713
371,322.868,6701.01,0.000299589,90.985
372,322.423,6700.56,0.000401878,90.9759
373,331.783,6709.92,0.000821496,91.1666
374,324.193,6702.33,0.000308736,91.012
375,321.057,6699.19,0.000545568,90.9481
376,331.123,6709.26,0.000797418,91.1531
377,325.625,6703.76,0.000405335,91.0411
378,320.025,6698.16,0.000656059,90.9271
379,330.074,6708.21,0.000735793,91.1318
380,327.048,6705.19,0.000541701,91.0701
381,319.385,6697.52,0.00072263,90.914
382,328.703,6706.84,0.00064649,91.1038
383,328.351,6706.49,0.000679788,91.0967
384,319.166,6697.3,0.000740721,90.9096
385,327.097,6705.23,0.000544767,91.0711
386,329.43,6707.57,0.00079807,91.1186
387,319.365,6697.5,0.000710374,90.9136
388,325.358,6703.49,0.000452723,91.0357
389,330.201,6708.34,0.000883165,91.1344
390,319.952,6698.09,0.000636023,90.9256
391,323.596,6701.73,0.00039808,90.9998
392,330.602,6708.74,0.000926625,91.1425
393,320.872,6699.01,0.000527051,90.9443
394,321.921,6700.06,0.000398376,90.9657
395,330.598,6708.74,0.000924037,91.1424
396,322.045,6700.18,0.000400614,90.9682
397,320.433,6698.57,0.000439822,90.9354
398,330.181,6708.32,0.000874759,91.1339
399,323.378,6701.51,0.000292758,90.9953
400,319.218,6697.36,0.000491522,90.9106
401,329.372,6707.51,0.000781795,91.1175
402,324.767,6702.9,0.000273835,91.0237
403,318.344,6696.48,0.000529358,90.8928
404,328.218,6706.35,0.000651758,91.0939
405,326.109,6704.25,0.000365026,91.051
406,317.853,6695.99,0.000540146,90.8828
407,326.788,6704.92,0.000495392,91.0648
408,327.301,6705.44,0.000498062,91.0753
409,317.761,6695.9,0.000519016,90.881
410,325.167,6703.3,0.000331154,91.0318
411,328.257,6706.39,0.00062721,91.0947
412,318.058,6696.19,0.000468031,90.887
413,323.454,6701.59,0.000206895,90.9969
414,328.904,6707.04,0.000732409,91.1079
415,318.708,6696.85,0.000397321,90.9003
416,321.747,6699.88,0.000230868,90.9621
417,329.192,6707.33,0.000803624,91.1138
418,319.655,6697.79,0.000330297,90.9195
419,320.145,6698.28,0.000362631,90.9295
420,329.095,6707.23,0.000836104,91.1118
421,320.822,6698.96,0.000309102,90.9433
422,318.738,6696.88,0.000502697,90.9009
423,328.612,6706.75,0.000829084,91.102
424,322.122,6700.26,0.000364493,90.9698
425,317.601,6695.74,0.000619371,90.8777
426,327.767,6705.9,0.00078538,91.0848
427,323.459,6701.6,0.000474011,90.997
428,316.79,6694.93,0.000700428,90.8612
429,326.606,6704.74,0.000711288,91.0611
430,324.738,6702.87,0.000600783,91.0231
431,316.341,6694.48,0.000739976,90.8521
432,325.193,6703.33,0.000616794,91.0323
433,325.868,6704.01,0.000720763,91.0461
434,316.265,6694.4,0.000736078,90.8505
435,323.608,6701.75,0.000516381,91
436,326.771,6704.91,0.000819156,91.0645
437,316.552,6694.69,0.000690239,90.8564
438,321.938,6700.08,0.000430362,90.966
439,327.383,6705.52,0.000886314,91.0769
440,317.168,6695.31,0.000607404,90.8689
441,320.275,6698.41,0.000382984,90.9322
442,327.659,6705.8,0.000916201,91.0826
443,318.061,6696.2,0.000496642,90.8871
