jd,latitude_deg,longitude_deg
2460482.64583333,51.0034,140.3525
2460482.64652778,50.1416,146.0633
2460482.64722222,48.9859,151.5301
2460482.64791667,47.5604,156.7105
2460482.64861111,45.8918,161.5818
2460482.64930556,44.0069,166.1381
2460482.65000000,41.9319,170.3862
2460482.65069444,39.6910,174.3423
2460482.65138889,37.3063,178.0279
2460482.65208333,34.7977,-178.5325
2460482.65277778,32.1825,-175.3134
2460482.65347222,29.4760,-172.2896
2460482.65416667,26.6918,-169.4368
2460482.65486111,23.8415,-166.7322
2460482.65555556,20.9356,-164.1547
2460482.65625000,17.9833,-161.6845
2460482.65694444,14.9930,-159.3034
2460482.65763889,11.9720,-156.9945
2460482.65833333,8.9273,-154.7416
2460482.65902778,5.8654,-152.5299
2460482.65972222,2.7924,-150.3447
2460482.66041667,-0.2859,-148.1722
2460482.66111111,-3.3637,-145.9983
2460482.66180556,-6.4352,-143.8093
2460482.66250000,-9.4944,-141.5910
2460482.66319444,-12.5352,-139.3289
2460482.66388889,-15.5510,-137.0077
2460482.66458333,-18.5349,-134.6114
2460482.66527778,-21.4793,-132.1226
2460482.66597222,-24.3756,-129.5230
2460482.66666667,-27.2145,-126.7925
2460482.66736111,-29.9853,-123.9096
2460482.66805556,-32.6759,-120.8513
2460482.66875000,-35.2726,-117.5930
2460482.66944444,-37.7596,-114.1096
2460482.67013889,-40.1192,-110.3754
2460482.67083333,-42.3310,-106.3664
2460482.67152778,-44.3726,-102.0618
2460482.67222222,-46.2194,-97.4470
2460482.67291667,-47.8449,-92.5171
2460482.67361111,-49.2221,-87.2810
2460482.67430556,-50.3249,-81.7648
2460482.67500000,-51.1296,-76.0146
2460482.67569444,-51.6173,-70.0958
2460482.67638889,-51.7758,-64.0898
2460482.67708333,-51.6010,-58.0866
2460482.67777778,-51.0977,-52.1762
2460482.67847222,-50.2785,-46.4390
2460482.67916667,-49.1629,-40.9394
2460482.67986111,-47.7746,-35.7221
2460482.68055556,-46.1401,-30.8123
2460482.68125000,-44.2865,-26.2178
2460482.68194444,-42.2400,-21.9330
2460482.68263889,-40.0252,-17.9429
2460482.68333333,-37.6644,-14.2264
2460482.68402778,-35.1778,-10.7593
2460482.68472222,-32.5829,-7.5162
2460482.68541667,-29.8954,-4.4716
2460482.68611111,-27.1289,-1.6013
2460482.68680556,-24.2953,1.1176
2460482.68750000,-21.4051,3.7066
2460482.68819444,-18.4677,6.1856
2460482.68888889,-15.4913,8.5728
2460482.68958333,-12.4836,10.8854
2460482.69027778,-9.4513,13.1394
2460482.69097222,-6.4010,15.3500
2460482.69166667,-3.3386,17.5315
2460482.69236111,-0.2701,19.6981
2460482.69305556,2.7990,21.8634
2460482.69375000,5.8629,24.0413
2460482.69444444,8.9158,26.2457
2460482.69513889,11.9516,28.4910
2460482.69583333,14.9641,30.7921
2460482.69652778,17.9465,33.1650
2460482.69722222,20.8913,35.6264
2460482.69791667,23.7904,38.1946
2460482.69861111,26.6346,40.8891
2460482.69930556,29.4137,43.7311
2460482.70000000,32.1160,46.7431
2460482.70069444,34.7282,49.9494
2460482.70138889,37.2350,53.3751
2460482.70208333,39.6193,57.0457
2460482.70277778,41.8613,60.9858
2460482.70347222,43.9391,65.2172
2460482.70416667,45.8285,69.7562
2460482.70486111,47.5035,74.6105
2460482.70555556,48.9371,79.7746
2460482.70625000,50.1027,85.2269
2460482.70694444,50.9757,90.9261
2460482.70763889,51.5358,96.8112
2460482.70833333,51.7691,102.8041
2460482.70902778,51.6694,108.8161
2460482.70972222,51.2392,114.7563
2460482.71041667,50.4893,120.5413
2460482.71111111,49.4376,126.1026
2460482.71180556,48.1070,131.3904
2460482.71250000,46.5235,136.3753
2460482.71319444,44.7140,141.0456
2460482.71388889,42.7050,145.4041
2460482.71458333,40.5216,149.4638
2460482.71527778,38.1867,153.2448
2460482.71597222,35.7209,156.7706
2460482.71666667,33.1425,160.0667
2460482.71736111,30.4675,163.1586
2460482.71805556,27.7100,166.0707
2460482.71875000,24.8825,168.8265
2460482.71944444,21.9956,171.4477
2460482.72013889,19.0592,173.9547
2460482.72083333,16.0817,176.3660
2460482.72152778,13.0711,178.6993
2460482.72222222,10.0342,-179.0293
2460482.72291667,6.9779,-176.8044
2460482.72361111,3.9082,-174.6112
2460482.72430556,0.8311,-172.4357
2460482.72500000,-2.2476,-170.2639
2460482.72569444,-5.3220,-168.0820
2460482.72638889,-8.3863,-165.8760
2460482.72708333,-11.4345,-163.6315
2460482.72777778,-14.4602,-161.3335
2460482.72847222,-17.4566,-158.9664
2460482.72916667,-20.4162,-156.5132
2460482.72986111,-23.3310,-153.9560
2460482.73055556,-26.1919,-151.2754
2460482.73125000,-28.9887,-148.4504
2460482.73194444,-31.7099,-145.4584
2460482.73263889,-34.3424,-142.2756
2460482.73333333,-36.8712,-138.8767
2460482.73402778,-39.2792,-135.2364
2460482.73472222,-41.5471,-131.3297
2460482.73541667,-43.6533,-127.1344
2460482.73611111,-45.5737,-122.6333
2460482.73680556,-47.2825,-117.8174
2460482.73750000,-48.7530,-112.6903
2460482.73819444,-49.9582,-107.2714
2460482.73888889,-50.8735,-101.5994
2460482.73958333,-51.4780,-95.7331
2460482.74027778,-51.7568,-89.7485
2460482.74097222,-51.7028,-83.7337
2460482.74166667,-51.3176,-77.7796
2460482.74236111,-50.6110,-71.9711
2460482.74305556,-49.6003,-66.3791
2460482.74375000,-48.3079,-61.0555
2460482.74444444,-46.7596,-56.0324
2460482.74513889,-44.9824,-51.3235
2460482.74583333,-43.0029,-46.9277
2460482.74652778,-40.8464,-42.8329
2460482.74722222,-38.5361,-39.0199
2460482.74791667,-36.0929,-35.4652
2460482.74861111,-33.5353,-32.1438
2460482.74930556,-30.8798,-29.0301
2460482.75000000,-28.1404,-26.0993
2460482.75069444,-25.3298,-23.3280
2460482.75138889,-22.4590,-20.6943
2460482.75208333,-19.5377,-18.1776
2460482.75277778,-16.5746,-15.7592
2460482.75347222,-13.5774,-13.4214
2460482.75416667,-10.5532,-11.1479
2460482.75486111,-7.5087,-8.9233
2460482.75555556,-4.4500,-6.7329
